Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
Seaholme,2,u,S,Barlow,11.0,3018.0,2.0,1.0,1.0,,,,Hobsons Bay City Council,-37.86744,144.83889,Western Metropolitan,852.0,730500
Strathmore,4,h,S,Nelson,9.7,3041.0,4.0,2.0,2.0,908.0,208.0,1960.0,Moonee Valley City Council,-37.735,144.9203,Western Metropolitan,3284.0,1370000
Hawthorn,2,u,S,RT,4.6,3122.0,2.0,1.0,1.0,711.0,,,Boroondara City Council,-37.8144,145.0328,Southern Metropolitan,11308.0,751000
Brunswick West,2,t,S,Jellis,5.9,3055.0,2.0,1.0,2.0,120.0,109.0,2004.0,Moreland City Council,-37.7659,144.9487,Northern Metropolitan,7082.0,735000
Williamstown,2,u,S,Raine,8.0,3016.0,2.0,1.0,1.0,0.0,78.0,1970.0,Hobsons Bay City Council,-37.8589,144.8921,Western Metropolitan,6380.0,465000
Flemington,2,h,S,Nelson,3.4,3031.0,2.0,1.0,0.0,,,,Melbourne City Council,-37.7844,144.9339,Northern Metropolitan,3593.0,905000
Mentone,3,t,S,Obrien,20.0,3194.0,3.0,2.0,2.0,435.0,141.0,1980.0,Kingston City Council,-37.97889,145.0745,South-Eastern Metropolitan,6162.0,1051000
Preston,3,h,PI,hockingstuart,8.8,3072.0,3.0,2.0,2.0,670.0,140.0,,Darebin City Council,-37.7353,145.0232,Northern Metropolitan,14577.0,1020000
Northcote,2,h,S,Jellis,5.3,3070.0,2.0,1.0,,145.0,136.0,1930.0,Darebin City Council,-37.7754,144.99275,Northern Metropolitan,11364.0,1015000
Essendon,6,h,VB,Nelson,7.5,3040.0,6.0,3.0,2.0,423.0,,1995.0,Moonee Valley City Council,-37.74559,144.92351,Western Metropolitan,9264.0,1150000
Hawthorn,5,h,VB,Kay,5.3,3122.0,5.0,2.0,5.0,1671.0,,,Boroondara City Council,-37.8268,145.03041,Southern Metropolitan,11308.0,5700000
Toorak,2,u,VB,RT,4.1,3142.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7217.0,1800000
Flemington,2,u,S,Nelson,4.4,3031.0,2.0,1.0,1.0,0.0,96.0,1890.0,Melbourne City Council,-37.788,144.9306,Northern Metropolitan,3593.0,603000
Clayton,7,h,S,Ray,16.7,3168.0,7.0,2.0,2.0,615.0,,,Monash City Council,-37.92059,145.11149,South-Eastern Metropolitan,5837.0,1215000
Werribee,2,h,S,YPA,14.7,3030.0,2.0,1.0,1.0,487.0,,,Wyndham City Council,-37.90379,144.66165,Western Metropolitan,16166.0,678000
Malvern East,4,t,PI,Jellis,11.2,3145.0,4.0,2.0,2.0,310.0,180.0,1990.0,Stonnington City Council,-37.8822,145.0837,Southern Metropolitan,8801.0,1240000
Moonee Ponds,2,t,SP,Frank,6.9,3039.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6232.0,670000
Ashwood,4,t,S,Buxton,12.2,3147.0,,,,,,,Monash City Council,,,Southern Metropolitan,2894.0,1230000
Moonee Ponds,3,t,S,Frank,6.9,3039.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,6232.0,902000
Mulgrave,3,h,S,Ray,18.8,3170.0,3.0,1.0,2.0,687.0,,,Monash City Council,-37.92608,145.16715,South-Eastern Metropolitan,7113.0,860000
Northcote,2,h,SP,Peter,5.5,3070.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11364.0,722000
Lalor,3,h,S,Stockdale,16.3,3075.0,3.0,1.0,1.0,548.0,,,Whittlesea City Council,-37.66649,145.0125,Northern Metropolitan,8279.0,685000
Brighton East,4,t,VB,Marshall,10.3,3187.0,4.0,3.0,1.0,299.0,,,Bayside City Council,-37.91795,145.01428,Southern Metropolitan,6938.0,1650000
Keilor East,3,t,S,Barry,12.8,3033.0,3.0,2.0,1.0,440.0,156.0,1995.0,Brimbank City Council,-37.7517,144.8776,Western Metropolitan,5629.0,705000
MacLeod,3,t,S,Ray,12.7,3085.0,,,,,,,Banyule City Council,,,Northern Metropolitan,4168.0,961500
Bulleen,4,h,S,Barry,11.8,3105.0,4.0,1.0,2.0,607.0,,,Manningham City Council,-37.7601,145.0856,Eastern Metropolitan,4480.0,1207000
Sunshine,4,h,S,Douglas,12.6,3020.0,4.0,1.0,4.0,615.0,,,Brimbank City Council,-37.785,144.8383,Western Metropolitan,3755.0,970000
Strathmore,3,h,S,Nelson,9.7,3041.0,3.0,1.0,2.0,692.0,117.0,1960.0,Moonee Valley City Council,-37.7217,144.9074,Western Metropolitan,3284.0,910000
Melbourne,1,u,S,Greg,2.8,3000.0,1.0,1.0,1.0,0.0,,2001.0,Melbourne City Council,-37.8116,144.9603,Northern Metropolitan,17496.0,432000
Avondale Heights,3,u,S,Moonee,9.5,3034.0,3.0,2.0,1.0,,,,Moonee Valley City Council,-37.76133,144.85882,Western Metropolitan,4502.0,757000
Coburg North,3,h,S,Ray,9.2,3058.0,,,,,,,Darebin City Council,,,Northern Metropolitan,3445.0,761000
Viewbank,3,h,S,Morrison,13.8,3084.0,3.0,2.0,2.0,628.0,177.0,1960.0,Banyule City Council,-37.7314,145.0941,Eastern Metropolitan,2698.0,820000
South Yarra,3,u,S,hockingstuart,2.7,3141.0,3.0,1.0,1.0,0.0,,1970.0,Melbourne City Council,-37.83849,144.99948,Southern Metropolitan,14887.0,805000
Camberwell,2,u,S,Jellis,7.8,3124.0,2.0,1.0,1.0,0.0,,,Boroondara City Council,-37.847,145.0672,Southern Metropolitan,8920.0,590000
Kensington,2,u,SP,Sweeney,4.2,3031.0,2.0,1.0,1.0,0.0,,,Melbourne City Council,-37.7952,144.9262,Northern Metropolitan,5263.0,506000
Keilor,3,h,S,Brad,14.5,3036.0,3.0,2.0,1.0,611.0,,1990.0,Brimbank City Council,-37.71402,144.82165,Western Metropolitan,2339.0,765000
St Kilda,2,h,S,Wilson,6.1,3182.0,2.0,1.0,1.0,165.0,97.0,1910.0,Port Phillip City Council,-37.8658,144.9774,Southern Metropolitan,13240.0,1301000
Preston,2,h,S,Nelson,8.8,3072.0,2.0,1.0,3.0,493.0,95.0,1950.0,Darebin City Council,-37.74,144.9821,Northern Metropolitan,14577.0,890000
Melton South,3,h,S,Barry,29.8,3338.0,3.0,1.0,4.0,2148.0,,,Melton City Council,-37.70534,144.57709,Western Victoria,4718.0,1152000
Airport West,3,t,S,Nelson,10.4,3042.0,3.0,2.0,2.0,314.0,160.0,2017.0,Moonee Valley City Council,-37.71968,144.87756,Western Metropolitan,3464.0,891000
Mill Park,4,h,S,Ray,17.9,3082.0,,,,,,,Whittlesea City Council,,,Northern Metropolitan,10529.0,745000
Hawthorn East,2,h,PI,Marshall,6.2,3123.0,2.0,2.0,1.0,,,,Boroondara City Council,-37.81949,145.04716,Southern Metropolitan,6482.0,1620000
Surrey Hills,5,h,S,Kay,10.2,3127.0,5.0,2.0,2.0,681.0,,,Boroondara City Council,-37.82317,145.08858,Southern Metropolitan,5457.0,2600000
Niddrie,2,u,S,Brad,11.2,3042.0,2.0,1.0,1.0,142.0,,,Moonee Valley City Council,-37.7415,144.8914,Western Metropolitan,2291.0,490000
Kew,2,u,S,hockingstuart,5.6,3101.0,2.0,1.0,1.0,743.0,,,Boroondara City Council,-37.8017,145.0445,Southern Metropolitan,10331.0,515000
Highett,3,h,S,Greg,16.0,3190.0,3.0,1.0,2.0,700.0,,,Bayside City Council,-37.95384,145.05443,Southern Metropolitan,4794.0,1242000
Alphington,1,u,S,Miles,6.4,3078.0,1.0,1.0,1.0,915.0,,,Darebin City Council,-37.7793,145.0327,Northern Metropolitan,2211.0,320000
Epping,4,h,S,hockingstuart,19.6,3076.0,4.0,2.0,2.0,376.0,180.0,2010.0,Whittlesea City Council,-37.62918,145.00855,Northern Metropolitan,10926.0,649000
Hawthorn,2,h,VB,Jellis,5.3,3122.0,2.0,1.0,0.0,,,,Boroondara City Council,-37.81881,145.04028,Southern Metropolitan,11308.0,1225000
Hawthorn,2,u,S,Jellis,4.6,3122.0,2.0,1.0,2.0,0.0,,,Boroondara City Council,-37.8249,145.0405,Southern Metropolitan,11308.0,743000
Armadale,1,u,S,Jellis,6.3,3143.0,1.0,1.0,1.0,0.0,,,Stonnington City Council,-37.8537,145.0114,Southern Metropolitan,4836.0,324000
Heidelberg West,3,h,S,Barry,9.4,3081.0,3.0,1.0,0.0,649.0,,,Banyule City Council,-37.7386,145.0441,Eastern Metropolitan,2674.0,808000
Sunshine West,3,h,SP,Sweeney,10.5,3020.0,3.0,2.0,2.0,535.0,,,Brimbank City Council,-37.79414,144.81855,Western Metropolitan,6763.0,520000
Carlton North,3,h,S,Nelson,3.2,3054.0,3.0,1.0,1.0,131.0,,,Melbourne City Council,-37.7846,144.9704,Northern Metropolitan,3106.0,1280000
Caulfield South,1,u,SP,Gary,8.7,3162.0,1.0,1.0,1.0,811.0,,,Glen Eira City Council,-37.89614,145.01323,Southern Metropolitan,5051.0,295000
Brunswick,3,h,S,Ray,5.2,3056.0,3.0,1.0,,163.0,152.0,1900.0,Moreland City Council,-37.7668,144.96644,Northern Metropolitan,11918.0,1080000
Malvern East,4,h,VB,Fletchers,11.2,3145.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,8801.0,1500000
Reservoir,2,h,VB,Ray,11.2,3073.0,2.0,1.0,2.0,637.0,,,Darebin City Council,-37.7207,145.0196,Northern Metropolitan,21650.0,730000
Ormond,4,h,SA,Ray,11.8,3204.0,4.0,2.0,2.0,666.0,158.0,1937.0,Glen Eira City Council,-37.9032,145.049,Southern Metropolitan,3578.0,1390000
Bentleigh,4,h,S,Buxton,11.4,3204.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795.0,1500000
Clifton Hill,2,h,S,Wilson,3.4,3068.0,2.0,1.0,1.0,168.0,,,Yarra City Council,-37.7914,144.9967,Northern Metropolitan,2954.0,1250000
Richmond,2,h,S,Nelson,2.4,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0,1145000
Northcote,3,h,S,Haughton,5.3,3070.0,3.0,2.0,2.0,,,,Darebin City Council,-37.7678,145.013,Northern Metropolitan,11364.0,1410000
Mill Park,3,h,S,HAR,17.9,3082.0,3.0,2.0,2.0,596.0,150.0,1985.0,Whittlesea City Council,-37.6576,145.05373,Northern Metropolitan,10529.0,715000
Yarraville,3,h,SP,Jas,6.3,3013.0,3.0,1.0,1.0,462.0,118.0,1960.0,Maribyrnong City Council,-37.82119,144.88103,Western Metropolitan,6543.0,985000
Heidelberg,2,u,SP,Miles,8.9,3084.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,2890.0,710000
South Morang,4,h,S,Morrison,20.5,3752.0,,,,,,,Whittlesea City Council,,,Northern Metropolitan,7969.0,675000
Port Melbourne,3,h,S,Marshall,3.8,3207.0,3.0,3.0,0.0,92.0,105.0,1910.0,Melbourne City Council,-37.8368,144.9463,Southern Metropolitan,8648.0,1400000
Thornbury,1,u,SP,McGrath,6.5,3071.0,1.0,1.0,1.0,948.0,,1970.0,Darebin City Council,-37.7577,145.0151,Northern Metropolitan,8870.0,300000
Elwood,2,u,SP,Biggin,7.7,3184.0,2.0,1.0,1.0,1912.0,,1970.0,Port Phillip City Council,-37.8795,144.98,Southern Metropolitan,8989.0,687000
Elwood,2,u,S,hockingstuart,7.7,3184.0,2.0,1.0,0.0,0.0,,1960.0,Port Phillip City Council,-37.8753,144.9902,Southern Metropolitan,8989.0,642000
Prahran,2,u,VB,hockingstuart,4.5,3181.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717.0,950000
Cheltenham,4,h,S,hockingstuart,17.9,3192.0,4.0,2.0,4.0,525.0,,,Bayside City Council,-37.96963,145.08267,Southern Metropolitan,9758.0,1180000
Glen Iris,2,u,PI,Thomson,7.3,3146.0,2.0,1.0,1.0,0.0,76.0,1965.0,Boroondara City Council,-37.85399,145.04699,Southern Metropolitan,10412.0,500000
Kew East,3,h,S,Fletchers,7.5,3102.0,3.0,1.0,1.0,698.0,,,Boroondara City Council,-37.7902,145.061,Southern Metropolitan,2671.0,1770000
Altona,2,u,S,Sweeney,11.0,3018.0,2.0,1.0,1.0,245.0,,,Hobsons Bay City Council,-37.87046,144.83482,Western Metropolitan,5301.0,801250
Essendon,2,h,VB,Nelson,8.0,3040.0,2.0,1.0,2.0,477.0,143.0,1960.0,Moonee Valley City Council,-37.7503,144.911,Western Metropolitan,9264.0,1065000
Wantirna South,3,h,S,Stockdale,14.7,3152.0,3.0,2.0,2.0,,,,Knox City Council,-37.87993,145.24154,Eastern Metropolitan,7082.0,935000
Glen Waverley,5,h,SP,Harcourts,16.7,3150.0,5.0,3.0,2.0,677.0,284.0,1975.0,Monash City Council,-37.88385,145.15088,Eastern Metropolitan,15321.0,1758000
Toorak,4,h,S,Kay,4.6,3142.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7217.0,5020000
Brunswick West,4,t,VB,Nelson,5.2,3055.0,,,,,,,Moreland City Council,,,Northern Metropolitan,7082.0,730000
Seddon,4,h,S,Jas,6.6,3011.0,3.0,1.0,1.0,352.0,150.0,1890.0,Maribyrnong City Council,-37.8059,144.8899,Western Metropolitan,2417.0,1270000
Richmond,4,h,S,Collins,2.6,3121.0,4.0,2.0,1.0,263.0,145.0,1900.0,Yarra City Council,-37.8261,145.0127,Northern Metropolitan,14949.0,1591000
Epping,3,h,S,HAR,19.6,3076.0,3.0,2.0,2.0,,,2012.0,Whittlesea City Council,-37.629,145.01405,Northern Metropolitan,10926.0,676000
Oakleigh,3,h,S,Woodards,12.3,3166.0,3.0,1.0,2.0,536.0,,,Monash City Council,-37.90561,145.08982,Southern Metropolitan,3224.0,1215000
Burnside Heights,3,h,S,Barry,14.8,3023.0,,,,,,,Melton City Council,,,Western Metropolitan,1686.0,481000
Southbank,1,u,S,MICM,0.7,3006.0,1.0,1.0,1.0,63.0,51.0,2010.0,Melbourne City Council,-37.83014,144.96967,Southern Metropolitan,8400.0,422000
Preston,2,h,SP,Nelson,8.8,3072.0,2.0,2.0,1.0,352.0,103.0,1950.0,Darebin City Council,-37.7495,145.0092,Northern Metropolitan,14577.0,910000
Oakleigh South,4,h,S,Buxton,15.5,3167.0,4.0,2.0,2.0,624.0,,,Kingston City Council,-37.91489,145.08441,South-Eastern Metropolitan,3692.0,1050000
Footscray,2,h,VB,hockingstuart,5.1,3011.0,2.0,1.0,2.0,353.0,123.0,1930.0,Maribyrnong City Council,-37.79047,144.88289,Western Metropolitan,7570.0,800000
Brunswick,3,h,S,Nelson,5.2,3056.0,3.0,1.0,1.0,264.0,117.0,1915.0,Moreland City Council,-37.7603,144.9573,Northern Metropolitan,11918.0,880000
Heidelberg West,4,h,S,Miles,9.4,3081.0,4.0,1.0,2.0,585.0,,,Banyule City Council,-37.7469,145.0448,Eastern Metropolitan,2674.0,725000
Croydon,3,h,S,Stockdale,23.0,3136.0,3.0,1.0,2.0,802.0,105.0,1980.0,Maroondah City Council,-37.81083,145.28792,Eastern Metropolitan,11925.0,725000
Roxburgh Park,3,h,S,Ray,20.6,3064.0,3.0,2.0,2.0,245.0,134.0,2004.0,Hume City Council,-37.62191,144.92158,Northern Metropolitan,5833.0,426000
Strathmore,4,h,VB,Pagan,9.7,3041.0,4.0,1.0,1.0,390.0,,,Moonee Valley City Council,-37.7413,144.9163,Western Metropolitan,3284.0,920000
Elsternwick,3,h,S,Biggin,7.2,3185.0,3.0,2.0,2.0,520.0,215.0,1890.0,Glen Eira City Council,-37.88983,145.00497,Southern Metropolitan,4898.0,2235000
Middle Park,2,h,VB,Greg,3.0,3206.0,2.0,1.0,1.0,194.0,,,Port Phillip City Council,-37.8503,144.96376,Southern Metropolitan,2019.0,1500000
Prahran,2,u,SP,Biggin,4.6,3181.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717.0,725000
Sunbury,4,h,S,Brad,31.7,3429.0,4.0,2.0,2.0,272.0,,,Hume City Council,-37.59753,144.70865,Western Metropolitan,14092.0,534000
Mulgrave,3,h,S,Win,18.8,3170.0,3.0,2.0,2.0,,,,Monash City Council,-37.9343,145.1854,South-Eastern Metropolitan,7113.0,896000
Camberwell,2,t,S,Ray,7.7,3124.0,2.0,2.0,1.0,112.0,,,Boroondara City Council,-37.84085,145.05415,Southern Metropolitan,8920.0,795000
Clifton Hill,3,h,VB,Nelson,3.6,3068.0,3.0,1.0,2.0,402.0,,1890.0,Yarra City Council,-37.79364,144.98853,Northern Metropolitan,2954.0,1600000
Flemington,3,h,S,McDonald,4.4,3031.0,3.0,2.0,2.0,226.0,140.0,2002.0,Melbourne City Council,-37.7824,144.9243,Northern Metropolitan,3593.0,1250000
Brunswick West,3,h,S,Nelson,5.9,3055.0,3.0,1.0,2.0,353.0,101.0,1930.0,Moreland City Council,-37.764,144.9428,Northern Metropolitan,7082.0,1330000
Bundoora,5,h,S,Barry,12.1,3083.0,5.0,3.0,2.0,659.0,179.0,2015.0,Banyule City Council,-37.68591,145.07825,Northern Metropolitan,10175.0,1505000
Camberwell,2,u,S,Marshall,7.7,3124.0,2.0,2.0,1.0,245.0,,,Boroondara City Council,-37.84603,145.06954,Southern Metropolitan,8920.0,881000
Coburg,3,h,SP,Re,7.8,3058.0,3.0,1.0,2.0,735.0,127.0,1920.0,Darebin City Council,-37.7379,144.9623,Northern Metropolitan,11204.0,1130000
Gowanbrae,4,h,S,Nelson,13.6,3043.0,4.0,2.0,2.0,702.0,170.0,2003.0,Moreland City Council,-37.7071,144.8989,Western Metropolitan,1071.0,990000
Elwood,4,h,VB,Chisholm,7.2,3184.0,4.0,2.0,2.0,497.0,,,Port Phillip City Council,-37.87587,144.98661,Southern Metropolitan,8989.0,2450000
Rosanna,5,h,S,Miles,11.4,3084.0,5.0,3.0,1.0,1850.0,,1910.0,Banyule City Council,-37.7465,145.0612,Eastern Metropolitan,3540.0,2530000
Edithvale,3,u,S,hockingstuart,27.0,3196.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2546.0,686000
Ringwood,4,h,S,Philip,19.9,3134.0,4.0,3.0,2.0,540.0,119.0,,Maroondah City Council,-37.82782,145.22506,Eastern Metropolitan,7785.0,935000
Brighton,3,h,S,Nick,11.2,3186.0,3.0,1.0,1.0,659.0,161.0,1942.0,Bayside City Council,-37.919,144.9953,Southern Metropolitan,10579.0,2900000
Melton,3,h,S,Ryder,31.7,3337.0,3.0,1.0,2.0,,,,Melton City Council,-37.67713,144.58184,Western Victoria,3600.0,324000
Carnegie,4,h,VB,hockingstuart,11.4,3163.0,4.0,2.0,2.0,757.0,133.0,1930.0,Glen Eira City Council,-37.8925,145.0541,Southern Metropolitan,7822.0,1550000
Doncaster,4,t,VB,Fletchers,13.9,3108.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,9028.0,900000
Bundoora,2,t,PI,Ray,12.1,3083.0,2.0,2.0,1.0,,,,Banyule City Council,-37.67819,145.05764,Northern Metropolitan,10175.0,405000
Mulgrave,4,h,S,Ray,18.8,3170.0,4.0,2.0,2.0,629.0,316.0,2010.0,Monash City Council,-37.9257,145.1943,South-Eastern Metropolitan,7113.0,1375000
Carlton North,2,h,S,Kelly,3.2,3054.0,1.0,2.0,0.0,413.0,172.0,1900.0,Melbourne City Council,-37.7875,144.9759,Northern Metropolitan,3106.0,2400000
Reservoir,3,h,SP,Nelson,11.2,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0,665000
Wantirna South,5,h,S,Ray,14.7,3152.0,5.0,2.0,2.0,922.0,279.0,1984.0,Knox City Council,-37.87004,145.22082,Eastern Metropolitan,7082.0,1075000
Beaumaris,1,u,S,Jellis,17.3,3193.0,,,,,,,Bayside City Council,,,Southern Metropolitan,5366.0,466000
Brighton East,4,h,PI,Nick,10.3,3187.0,4.0,4.0,2.0,713.0,361.0,2012.0,Bayside City Council,-37.92824,145.02237,Southern Metropolitan,6938.0,3300000
Brunswick East,2,h,PI,Woodards,4.0,3057.0,,,,,,,Moreland City Council,,,Northern Metropolitan,5533.0,1010000
West Melbourne,2,u,S,Nelson,3.1,3003.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,2230.0,569500
Reservoir,3,u,S,Harcourts,11.2,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0,640000
Braybrook,2,h,S,hockingstuart,8.6,3019.0,2.0,1.0,1.0,304.0,74.0,1950.0,Maribyrnong City Council,-37.78341,144.85574,Western Metropolitan,3589.0,590000
Essendon,2,u,SP,Brad,7.5,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264.0,450000
Fawkner,3,h,SP,hockingstuart,12.4,3060.0,3.0,1.0,4.0,592.0,,,Hume City Council,-37.7111,144.9664,Northern Metropolitan,5070.0,640000
Glen Waverley,6,h,S,Harcourts,16.7,3150.0,6.0,4.0,2.0,848.0,,,Monash City Council,-37.8958,145.1483,Eastern Metropolitan,15321.0,1411000
Airport West,4,h,S,Nelson,13.5,3042.0,4.0,3.0,2.0,532.0,,,Moonee Valley City Council,-37.7263,144.869,Western Metropolitan,3464.0,978000
West Melbourne,3,u,S,LITTLE,3.1,3003.0,3.0,2.0,1.0,,115.0,1996.0,Melbourne City Council,-37.8118,144.95259,Northern Metropolitan,2230.0,742000
Richmond,3,h,S,Jellis,2.6,3121.0,,,,,,,Yarra City Council,,,Northern Metropolitan,14949.0,1270000
Kensington,2,u,S,Edward,4.2,3031.0,2.0,1.0,1.0,0.0,86.0,2000.0,Melbourne City Council,-37.7897,144.9228,Northern Metropolitan,5263.0,500000
Oakleigh,2,h,S,Woodards,12.3,3166.0,2.0,1.0,2.0,567.0,,1940.0,Monash City Council,-37.90193,145.10107,Southern Metropolitan,3224.0,1225000
Toorak,3,t,PI,Jellis,4.1,3142.0,3.0,2.0,2.0,141.0,,,Stonnington City Council,-37.84224,145.0088,Southern Metropolitan,7217.0,1900000
South Yarra,2,u,S,hockingstuart,3.3,3141.0,2.0,1.0,1.0,0.0,,,Melbourne City Council,-37.835,144.9905,Southern Metropolitan,14887.0,621500
Docklands,1,u,VB,RT,1.9,3008.0,1.0,1.0,1.0,0.0,,,Melbourne City Council,-37.8133,144.9433,Southern Metropolitan,4707.0,360000
Hoppers Crossing,3,h,S,Sweeney,18.4,3029.0,3.0,2.0,1.0,410.0,109.0,1980.0,Wyndham City Council,-37.86608,144.68721,Western Metropolitan,13830.0,428000
Blackburn,2,u,S,Barry,13.4,3130.0,2.0,1.0,1.0,0.0,55.0,1960.0,Whitehorse City Council,-37.82945,145.15697,Eastern Metropolitan,5713.0,485000
Bentleigh,4,h,PI,Buxton,11.4,3204.0,4.0,2.0,2.0,689.0,,,Glen Eira City Council,-37.93031,145.03816,Southern Metropolitan,6795.0,1450000
Cranbourne,5,h,SP,O'Brien,34.7,3977.0,5.0,3.0,2.0,528.0,204.0,2006.0,Casey City Council,-38.08902,145.29006,South-Eastern Metropolitan,7680.0,720008
Fawkner,3,h,S,hockingstuart,13.1,3060.0,3.0,1.0,1.0,634.0,,,Hume City Council,-37.70133,144.9755,Northern Metropolitan,5070.0,730000
Avondale Heights,3,h,S,Brad,10.5,3034.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,4502.0,775000
Murrumbeena,2,u,S,Gary,12.1,3163.0,2.0,1.0,2.0,1113.0,93.0,2010.0,Glen Eira City Council,-37.8892,145.0664,Southern Metropolitan,4442.0,582000
Essendon North,2,u,VB,Brad,8.2,3041.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,1308.0,390000
St Albans,2,u,PI,Brad,14.0,3021.0,,,,,,,Brimbank City Council,,,Western Metropolitan,14042.0,515000
Bentleigh East,2,u,PI,Buxton,13.9,3165.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969.0,420000
Coburg North,2,t,S,Ray,9.2,3058.0,2.0,2.0,2.0,186.0,,,Darebin City Council,-37.7263,144.9843,Northern Metropolitan,3445.0,570000
Sunbury,4,h,VB,hockingstuart,31.7,3429.0,4.0,2.0,2.0,619.0,,,Hume City Council,-37.56292,144.69972,Western Metropolitan,14092.0,500000
Sunbury,4,h,S,YPA,31.7,3429.0,4.0,2.0,2.0,,,,Hume City Council,-37.55791,144.72366,Western Metropolitan,14092.0,555000
Surrey Hills,3,h,S,Marshall,10.2,3127.0,3.0,2.0,2.0,444.0,,,Boroondara City Council,-37.81411,145.09055,Southern Metropolitan,5457.0,1050000
Dingley Village,3,h,PI,Buxton,22.2,3172.0,3.0,2.0,2.0,531.0,151.0,1970.0,Kingston City Council,-37.98269,145.12811,South-Eastern Metropolitan,3940.0,880000
Kew,5,h,PI,Marshall,5.6,3101.0,5.0,2.0,3.0,920.0,241.0,1900.0,Boroondara City Council,-37.8017,145.0419,Southern Metropolitan,10331.0,2800000
